Date	Month	Day	Fish.ID	Liver.ID	Fillet.ID	Whole	Tank	Treatment	Sex	Length	Weight	Liver.Weight	God.Weight	HSI	GSI
6/30/2010	6	30	CN-35	CNf-T25.6-30	CNl-T25.6-30	NA	25	Control.Not.Fed	F	380	835	7.7	28.364	0.922155689	3.396886228
6/30/2010	6	30	CN-36	CNf-T25.6-30	CNl-T25.6-30	NA	25	Control.Not.Fed	F	350	714	7.701	28.039	1.078571429	3.927030812
6/30/2010	6	30	CN-37	CNf-T25.6-30	CNl-T25.6-30	NA	25	Control.Not.Fed	M	374	767	6.771	1.16	0.882790091	0.151238592
6/30/2010	6	30	PNw-T23.6-30	NA	NA	PNw-T23.6-30	23	PCB.Not.Fed	NA	390	963	NA	NA	NA	NA
6/30/2010	6	30	PN-38	PNf-T23.6-30	PNL-T23.6-30	NA	23	PCB.Not.Fed	F	386	835	7.406	53.318	0.886946108	6.385389222
6/30/2010	6	30	PN-39	PNf-T23.6-30	PNL-T23.6-30	NA	23	PCB.Not.Fed	F	410	1169	11.011	51.733	0.941916168	4.42540633
6/30/2010	6	30	PN-40	PNf-T23.6-30	PNL-T23.6-30	NA	23	PCB.Not.Fed	M	398	1005	8.399	3.093	0.835721393	0.307761194
6/30/2010	6	30	CNw-T21.6-30	NA	NA	CNw-T21.6-30	21	Control.Not.Fed	NA	365	821	NA	NA	NA	NA
6/30/2010	6	30	CN-38	CNf-T21.6-30	CNl-T21.6-30	NA	21	Control.Not.Fed	F	302	546	5.45	3.325	0.998168498	0.608974359
6/30/2010	6	30	CN-39	CNf-T21.6-30	CNl-T21.6-30	NA	21	Control.Not.Fed	M	358	633	5.46	NA	0.862559242	0
6/30/2010	6	30	CN-40	CNf-T21.6-30	CNl-T21.6-30	NA	21	Control.Not.Fed	M	332	520	5.309	0.981	1.020961538	0.188653846
6/30/2010	6	30	CFw-T4.6-30	NA	NA	CFw-T4.6-30	4	Control.Fed	NA	388	988	NA	NA	NA	NA
6/30/2010	6	30	CF-38	CFf-T4.6-30	CFl-T4.6-30	NA	4	Control.Fed	M	392	1071	15.782	3.119	1.473576097	0.291223156
6/30/2010	6	30	CF-39	CFf-T4.6-30	CFl-T4.6-30	NA	4	Control.Fed	F	420	1243	18.327	65.3	1.474416734	5.253419147
